Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
295,Mohan Mandavi,KANKER,BJP,0,Post Graduate,"Rs 2,86,75,553 ~ 2 Crore+","Rs 6,79,000 ~ 6 Lacs+"
296,Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,"Rs 7,49,64,501 ~ 7 Crore+","Rs 3,88,246 ~ 3 Lacs+"
297,Mulayam Singh Yadav,MAINPURI,SP,1,Post Graduate,"Rs 20,56,04,593 ~ 20 Crore+","Rs 2,20,55,657 ~ 2 Crore+"
298,N. Reddeppa,CHITTOOR,YSRCP,0,Post Graduate,"Rs 1,73,55,862 ~ 1 Crore+","Rs 13,41,542 ~ 13 Lacs+"
299,Naba Kumar Sarania,KOKRAJHAR,IND,5,12th Pass,"Rs 1,30,13,994 ~ 1 Crore+","Rs 1,75,069 ~ 1 Lacs+"
300,Nakul Nath,CHHINDWARA,INC,0,Graduate,"Rs 6,60,19,46,757 ~ 660 Crore+","Rs 87,91,712 ~ 87 Lacs+"
301,Nalamada Uttam Kumar Reddy,NALGONDA,INC,4,Graduate,"Rs 3,15,01,349 ~ 3 Crore+","Rs 12,00,000 ~ 12 Lacs+"
302,Nalin Kumar Kateel,DAKSHINA KANNADA,BJP,4,10th Pass,"Rs 1,46,78,300 ~ 1 Crore+","Rs 44,50,945 ~ 44 Lacs+"
303,Nama Nageswr Rao,KHAMMAM,TRS,5,12th Pass,"Rs 1,07,46,71,341 ~ 107 Crore+","Rs 8,07,21,594 ~ 8 Crore+"
304,Nandkumar Singh Chouhan (Nandu Bhaiya),KHANDWA,BJP,0,Post Graduate,"Rs 1,90,76,515 ~ 1 Crore+","Rs 48,19,099 ~ 48 Lacs+"
305,Narendra Kumar,JHUNJHUNU,BJP,1,Graduate,"Rs 4,74,74,109 ~ 4 Crore+","Rs 32,78,401 ~ 32 Lacs+"
306,Narendra Modi,VARANASI,BJP,0,Post Graduate,"Rs 2,51,36,119 ~ 2 Crore+",Rs 0 ~
307,Narendra Singh Tomar,MORENA,BJP,1,Graduate,"Rs 2,30,62,224 ~ 2 Crore+","Rs 66,89,767 ~ 66 Lacs+"
308,Navneet Ravi Rana,AMRAVATI,IND,1,10th Pass,"Rs 12,45,54,656 ~ 12 Crore+","Rs 7,05,76,979 ~ 7 Crore+"
309,Nayab Singh,KURUKSHETRA,BJP,0,Graduate Professional,"Rs 3,57,85,621 ~ 3 Crore+","Rs 57,20,000 ~ 57 Lacs+"
310,Nihal Chand,GANGANAGAR,BJP,0,Graduate,"Rs 2,10,14,362 ~ 2 Crore+","Rs 36,31,287 ~ 36 Lacs+"
311,Nishikant Dubey,GODDA,BJP,4,Doctorate,"Rs 46,27,57,500 ~ 46 Crore+",Rs 0 ~
312,Nitesh Ganga Deb,SAMBALPUR,BJP,1,12th Pass,"Rs 26,95,43,587 ~ 26 Crore+","Rs 1,03,37,195 ~ 1 Crore+"
313,Nitin Jairam Gadkari,NAGPUR,BJP,4,Graduate Professional,"Rs 18,79,16,075 ~ 18 Crore+","Rs 4,07,29,055 ~ 4 Crore+"
314,Nityanand Rai,UJIARPUR,BJP,3,Graduate,"Rs 18,70,07,570 ~ 18 Crore+","Rs 3,57,561 ~ 3 Lacs+"
315,Nusrat Jahan Ruhi,BASIRHAT,AITC,0,12th Pass,"Rs 2,90,88,391 ~ 2 Crore+","Rs 1,68,81,608 ~ 1 Crore+"
316,Om Birla,KOTA,BJP,1,Post Graduate,"Rs 4,83,47,737 ~ 4 Crore+",Rs 0 ~
317,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,OSMANABAD,SHS,4,12th Pass,"Rs 5,02,99,295 ~ 5 Crore+","Rs 1,00,45,858 ~ 1 Crore+"
318,P R Natarajan,COIMBATORE,CPI(M),1,12th Pass,"Rs 2,02,84,430 ~ 2 Crore+","Rs 32,34,168 ~ 32 Lacs+"
319,P. C. Mohan,BANGALORE CENTRAL,BJP,0,12th Pass,"Rs 75,55,29,306 ~ 75 Crore+","Rs 31,25,21,957 ~ 31 Crore+"
320,P. P. Chaudhary,PALI,BJP,0,Graduate Professional,"Rs 38,51,11,923 ~ 38 Crore+","Rs 72,78,041 ~ 72 Lacs+"
321,P. Raveendranath Kumar,THENI,AIADMK,0,Post Graduate,"Rs 6,58,03,231 ~ 6 Crore+","Rs 3,27,34,079 ~ 3 Crore+"
322,P.V.Midhun Reddy,RAJAMPET,YSRCP,3,Post Graduate,"Rs 66,50,85,701 ~ 66 Crore+","Rs 20,54,73,477 ~ 20 Crore+"
323,Paarivendhar T R,PERAMBALUR,DMK,2,Post Graduate,"Rs 97,27,30,368 ~ 97 Crore+","Rs 6,59,35,070 ~ 6 Crore+"
324,Pakauri Lal,ROBERTSGANJ,Apna Dal (Soneylal),0,Literate,"Rs 2,30,48,078 ~ 2 Crore+","Rs 6,84,133 ~ 6 Lacs+"
325,Palanimanickam.S.S,THANJAVUR,DMK,0,Graduate Professional,"Rs 4,24,52,076 ~ 4 Crore+","Rs 23,68,600 ~ 23 Lacs+"
326,Pallab Lochan Das,TEZPUR,BJP,0,Graduate,"Rs 1,44,45,139 ~ 1 Crore+",Rs 0 ~
327,Pankaj Choudhary,MAHARAJGANJ,BJP,5,12th Pass,"Rs 37,18,27,109 ~ 37 Crore+","Rs 44,83,048 ~ 44 Lacs+"
328,Parbatbhai Patel,BANASKANTHA,BJP,0,Graduate Professional,"Rs 4,18,19,177 ~ 4 Crore+","Rs 45,00,000 ~ 45 Lacs+"
329,Parbhubhai Nagarbhai Vasava,BARDOLI,BJP,0,Others,"Rs 2,83,50,217 ~ 2 Crore+","Rs 36,76,869 ~ 36 Lacs+"
330,Parthiban.S.R,SALEM,DMK,4,Graduate Professional,"Rs 6,00,45,532 ~ 6 Crore+","Rs 40,39,841 ~ 40 Lacs+"
331,Parvesh Sahib Singh,WEST DELHI,BJP,0,Post Graduate,"Rs 15,51,95,014 ~ 15 Crore+","Rs 4,00,97,329 ~ 4 Crore+"
332,Pashupati Kumar Paras,HAJIPUR,LJP,1,Graduate Professional,"Rs 6,28,34,200 ~ 6 Crore+","Rs 67,44,375 ~ 67 Lacs+"
